n_factors,alpha,1,3,5
20,0.2,0.0,0.0,0.0
20,0.5,0.0,0.0,0.0
20,0.8,0.0,0.0,0.0
50,0.2,0.0,0.0,0.0
50,0.5,0.0,0.0,0.0
50,0.8,0.0,0.0,0.0
100,0.2,0.0,0.0,0.0
100,0.5,0.0,0.0,0.0
100,0.8,0.0,0.0,0.0
